Easting,Northing,In AQMA?,Distance to kerb,Year,NO2
327148,676507,Yes ,2.2,2008,45.3
327137,676529,Yes ,2.1,2008,48
327192,676513,Yes ,2.2,2008,41.3
327135,676515,Yes ,2.1,2008,53.4
327009,676565,Yes ,2.47,2008,38.6
326879,676626,Yes ,2.6,2008,40.4
326430,676754,Yes ,1.47,2008, 
324946,676070,No ,1.65,2008, 
324726,676004,Yes ,1.75 +2.85b ,2008, 
326359,676420,No ,7.5,2008,35.3
326136,676361,No ,3.7,2008,39.6
326503,674436,Yes ,3.1,2008,42.4
326740,676138,Yes ,2.9,2008,38.4
326925,675949,Yes ,2.8,2008,50.2
326845,676015,Yes ,2.7,2008,43.1
326884,675997,Yes ,2.8,2008,44.6
326757,676144,Yes ,2.8,2008,39
324638,675993,Yes ,4.65,2008, 
324686,675941,Yes ,2.28 + 2.0b ,2008, 
326455,676805,No ,4.2,2008, 
327476,676418,No ,2.25,2008, 
327665,676331,No ,1.8,2008, 
324896,676991,No ,2,2008,28.3
329997,674274,No ,2.0 + 2.1b ,2008,24.6
327231,671782,No ,1.8,2008,31.8
326934,674503,Yes ,2.3,2008,58.2
326950,674624,Yes ,3.3,2008,44.9
326958,674770,Yes ,3.25,2008,43.8
326974,674780,Yes ,2.8,2008,40.8
326999,674940,Yes ,3.95,2008,37.3
327010,675149,No ,2.8,2008,35
327071,675467,No ,3,2008,33.4
326980,674446,Yes ,2.5,2008, 
327190,674433,Yes ,2.7,2008, 
328049,674174,Yes ,2.7,2008, 
328272,674143,Yes ,2.62,2008, 
328337,674129,Yes ,4.6,2008, 
327468,674362,Yes ,2.04 + 2.0b ,2008, 
326944,674472,Yes ,5.6,2008,52.3
328889,671649,No ,0.2 + 2.4b ,2008,26.9
328771,674190,No ,4.0 + 2.1b ,2008, 
330242,674162,No ,3.8,2008, 
330830,673726,No ,2.3,2008, 
330366,674057,No ,3.1,2008, 
330533,673850,No ,3,2008, 
329923,674389,No ,2.8,2008, 
329993,674457,No ,4.5,2008, 
325513,675134,No ,2,2008,40.4
325855,674527,No ,4.5,2008,37.7
324603,674555,No ,0.6 + 2.1b ,2008,32.3
325243,674400,No ,0.3 + 2.1b ,2008,28.9
324880,673891,Yes ,6.8,2008, 
325273,674030,Yes ,0.54,2008, 
324783,673868,Yes ,0.3,2008, 
324473,673920,No ,0.36 + 2.4b ,2008, 
324488,673978,No ,0.4 + 2.1b ,2008, 
324790,674341,No ,0.4 + 2.1b ,2008,22.7
325052,675217,No ,6.1,2008, 
326386,674872,Yes ,1.16,2008,37.3
326361,674882,Yes ,5.6,2008,53.1
325049,673791,Yes ,9,2008,64
325397,673869,Yes ,1,2008,51.5
325362,674205,Yes ,2.2 + 2.0 b ,2008,43.7
324624,674012,No ,0.6,2008, 
325828,674362,Yes ,5.5,2008,40.5
,,,,2008,
326229,672287,No ,2.35 +2 b ,2008, 
325881,673471,Yes ,4.5,2008,46.6
325929,673490,Yes ,3.2,2008, 
326132,673519,Yes ,3.8 +2 b ,2008, 
326047,673519,Yes ,2.4,2008, 
324731,672984,No ,2.2,2008, 
324438,672859,No ,2.2,2008, 
324682,672939,No ,3.3,2008, 
325427,673371,Yes ,2.0 + 2.1b ,2008,35.1
325401,673340,Yes ,3.4,2008,42.3
325471,673369,Yes ,5,2008, 
325397,673377,Yes ,21 + 2.1 b ,2008, 
324905,672893,No ,2.8,2008,37.4
326312,672614,No ,5,2008, 
326244,672581,No ,4.9,2008, 
326323,672596,No ,1.3,2008, 
325141,672733,No ,2.8,2008,26.2
325105,670511,No ,1.4,2008,17.4
324538,671166,No ,0.7,2008,30
324167,673249,Yes ,2.2,2008,61.4
326181,672971,No ,3.4 + 2 b ,2008, 
326112,673115,No ,3 + 2 ,2008, 
326164,673054,No ,3.74 + 2 b ,2008, 
325944,673670,Yes ,3.5,2008,52.3
326367,672554,No ,1.96 + 2 b ,2008, 
326383,672472,No ,2.57 + 2 b ,2008, 
324260,673270,Yes ,0.73,2008,58.2
324192,673332,Yes ,0.65,2008,70.1
325221,673263,Yes ,1.9,2008,53.3
325166,673242,Yes ,1.4,2008,72.5
325184,673261,Yes ,3,2008,51.5
325203,673250,Yes ,2.7,2008,66.6
319212,672921,No ,0.57 + 2.0bc ,2008, 
318185,672756,No ,3.6,2008, 
313028,672633,Yes ,1.8,2008,42.4
312664,672672,Yes ,1.6 + 2.4 bc ,2008,35.7
312693,672670,Yes ,2.8,2008, 
322478,674406,No ,2.6,2008, 
322082,674543,No ,3.2,2008, 
321526,674945,No ,4.5 + 7b ,2008, 
321990,674586,No ,2.1,2008, 
322153,674470,No ,2.8,2008, 
322123,674492,No ,3.1,2008, 
320081,673232,No ,1,2008,19.6
318612,674924,No ,2.8,2008, 
322144,674497,No ,2.0 + 2b ,2008,44.4
318810,674903,No ,16.9,2008, 
318723,674963,No ,13.6,2008, 
318698,674955,No ,1.49,2008, 
318698,674964,No ,10.5,2008, 
323007,673198,Yes ,0.23,2008,49.5
320122,672917,Yes ,0.54,2008,41.2
320154,672911,Yes ,2,2008,48.8
320096,672907,Yes ,2.1,2008,84.9
319651,672995,Yes ,1.56,2008,31.7
318571,675028,No ,3.5,2008,31.4
323498,672263,No ,2.2,2008, 
323587,672360,No ,4.75,2008, 
323526,672285,No ,2.1,2008, 
323487,672287,No ,2.2,2008, 
319062,670543,No ,1.6,2008,29.5
323265,672394,Yes ,2.5,2008, 
321724,671557,Yes ,2.5,2008, 
323477,672476,Yes ,2.4,2008,51.5
321967,671666,Yes ,2.6,2008, 
323484,672478,Yes ,0.3,2008,44.3
323632,672449,No ,1.8,2008, 
319527,668420,No ,1.5,2008,24.8
323167,672999,No ,2.3,2008, 
322999,671876,No ,2.6,2008, 
322960,671846,No ,2.67,2008, 
322772,671606,No ,2.2,2008, 
327148,676507,Yes ,2.2,2009,45.1
327137,676529,Yes ,2.1,2009,42
327192,676513,Yes ,2.2,2009,32.9
327135,676515,Yes ,2.1,2009,48.2
327009,676565,Yes ,2.47,2009,34.8
326879,676626,Yes ,2.6,2009,31.6
326430,676754,Yes ,1.47,2009, 
324946,676070,No ,1.65,2009,32.1
324726,676004,Yes ,1.75 +2.85b ,2009,36.4
326359,676420,No ,7.5,2009,30.9
326136,676361,No ,3.7,2009,35.4
326503,674436,Yes ,3.1,2009,40.9
326740,676138,Yes ,2.9,2009,38.5
326925,675949,Yes ,2.8,2009,42.6
326845,676015,Yes ,2.7,2009,41.9
326884,675997,Yes ,2.8,2009,44.1
326757,676144,Yes ,2.8,2009,37.1
324638,675993,Yes ,4.65,2009,42.6
324686,675941,Yes ,2.28 + 2.0b ,2009, 
326455,676805,No ,4.2,2009, 
327476,676418,No ,2.25,2009,37.1
327665,676331,No ,1.8,2009,37.4
324896,676991,No ,2,2009,28.6
329997,674274,No ,2.0 + 2.1b ,2009,22.5
327231,671782,No ,1.8,2009,28.1
326934,674503,Yes ,2.3,2009,50.8
326950,674624,Yes ,3.3,2009,38.8
326958,674770,Yes ,3.25,2009,38
326974,674780,Yes ,2.8,2009,37.3
326999,674940,Yes ,3.95,2009,34.1
327010,675149,No ,2.8,2009,30.1
327071,675467,No ,3,2009,27.9
326980,674446,Yes ,2.5,2009, 
327190,674433,Yes ,2.7,2009,47.9
328049,674174,Yes ,2.7,2009,30.4
328272,674143,Yes ,2.62,2009,56.2
328337,674129,Yes ,4.6,2009,47.3
327468,674362,Yes ,2.04 + 2.0b ,2009,43
326944,674472,Yes ,5.6,2009,43.4
328889,671649,No ,0.2 + 2.4b ,2009,30.7
328771,674190,No ,4.0 + 2.1b ,2009, 
330242,674162,No ,3.8,2009, 
330830,673726,No ,2.3,2009, 
330366,674057,No ,3.1,2009,26.3
330533,673850,No ,3,2009,43
329923,674389,No ,2.8,2009, 
329993,674457,No ,4.5,2009,35
325513,675134,No ,2,2009,38.1
325855,674527,No ,4.5,2009,35.1
324603,674555,No ,0.6 + 2.1b ,2009,30.1
325243,674400,No ,0.3 + 2.1b ,2009,27.2
324880,673891,Yes ,6.8,2009, 
325273,674030,Yes ,0.54,2009, 
324783,673868,Yes ,0.3,2009, 
324473,673920,No ,0.36 + 2.4b ,2009, 
324488,673978,No ,0.4 + 2.1b ,2009, 
324790,674341,No ,0.4 + 2.1b ,2009,22.6
325052,675217,No ,6.1,2009, 
326386,674872,Yes ,1.16,2009,35.3
326361,674882,Yes ,5.6,2009,36.8
325049,673791,Yes ,9,2009,34
325397,673869,Yes ,1,2009,36.2
325362,674205,Yes ,2.2 + 2.0 b ,2009,50.8
324624,674012,No ,0.6,2009, 
325828,674362,Yes ,5.5,2009,37.5
326229,672287,No ,2.35 +2 b ,2009, 
325881,673471,Yes ,4.5,2009,39.8
325929,673490,Yes ,3.2,2009, 
326132,673519,Yes ,3.8 +2 b ,2009, 
326047,673519,Yes ,2.4,2009, 
324731,672984,No ,2.2,2009, 
324438,672859,No ,2.2,2009, 
324682,672939,No ,3.3,2009, 
325427,673371,Yes ,2.0 + 2.1b ,2009,35.4
325401,673340,Yes ,3.4,2009,40.5
325471,673369,Yes ,5,2009, 
325397,673377,Yes ,21 + 2.1 b ,2009, 
324905,672893,No ,2.8,2009,32.3
326312,672614,No ,5,2009,38.8
326244,672581,No ,4.9,2009, 
326323,672596,No ,1.3,2009, 
325141,672733,No ,2.8,2009,25.3
325105,670511,No ,1.4,2009,15.2
324538,671166,No ,0.7,2009,27.1
324167,673249,Yes ,2.2,2009,44.6
326181,672971,No ,3.4 + 2 b ,2009, 
326112,673115,No ,3 + 2 ,2009, 
326164,673054,No ,3.74 + 2 b ,2009, 
325944,673670,Yes ,3.5,2009,48.4
326367,672554,No ,1.96 + 2 b ,2009, 
326383,672472,No ,2.57 + 2 b ,2009, 
324260,673270,Yes ,0.73,2009,26.3
324192,673332,Yes ,0.65,2009,45.6
325221,673263,Yes ,1.9,2009,47.7
325166,673242,Yes ,1.4,2009,66.7
325184,673261,Yes ,3,2009,43.5
325203,673250,Yes ,2.7,2009,60.2
319212,672921,No ,0.57 + 2.0bc ,2009,28.6
318185,672756,No ,3.6,2009,34.9
313028,672633,Yes ,1.8,2009,46.8
312664,672672,Yes ,1.6 + 2.4 bc ,2009,42
312693,672670,Yes ,2.8,2009,51.1
322478,674406,No ,2.6,2009, 
322082,674543,No ,3.2,2009, 
321526,674945,No ,4.5 + 7b ,2009, 
321990,674586,No ,2.1,2009, 
322153,674470,No ,2.8,2009, 
322123,674492,No ,3.1,2009, 
320081,673232,No ,1,2009,21.2
318612,674924,No ,2.8,2009,24.2
322144,674497,No ,2.0 + 2b ,2009,37.4
318810,674903,No ,16.9,2009,22
318723,674963,No ,13.6,2009,27.6
318698,674955,No ,1.49,2009,46.8
318698,674964,No ,10.5,2009, 
323007,673198,Yes ,0.23,2009,37.2
320122,672917,Yes ,0.54,2009,36.7
320154,672911,Yes ,2,2009,44.2
320096,672907,Yes ,2.1,2009,57.8
319651,672995,Yes ,1.56,2009,28.2
318571,675028,No ,3.5,2009,29.8
323498,672263,No ,2.2,2009, 
323587,672360,No ,4.75,2009, 
323526,672285,No ,2.1,2009, 
323487,672287,No ,2.2,2009, 
319062,670543,No ,1.6,2009,26.3
323265,672394,Yes ,2.5,2009, 
321724,671557,Yes ,2.5,2009, 
323477,672476,Yes ,2.4,2009,45
321967,671666,Yes ,2.6,2009, 
323484,672478,Yes ,0.3,2009,42.6
323632,672449,No ,1.8,2009, 
319527,668420,No ,1.5,2009,22.3
323167,672999,No ,2.3,2009, 
322999,671876,No ,2.6,2009, 
322960,671846,No ,2.67,2009, 
322772,671606,No ,2.2,2009, 
327148,676507,Yes ,2.2,2010,43.7
327137,676529,Yes ,2.1,2010,44.6
327192,676513,Yes ,2.2,2010,36.9
327135,676515,Yes ,2.1,2010,49.4
327009,676565,Yes ,2.47,2010,34.2
326879,676626,Yes ,2.6,2010,36.7
326430,676754,Yes ,1.47,2010,38.1
324946,676070,No ,1.65,2010,32.4
324726,676004,Yes ,1.75 +2.85b ,2010,34.8
326359,676420,No ,7.5,2010,33.5
326136,676361,No ,3.7,2010,41.5
326503,674436,Yes ,3.1,2010,38.3
326740,676138,Yes ,2.9,2010,39.9
326925,675949,Yes ,2.8,2010,44.1
326845,676015,Yes ,2.7,2010,38.7
326884,675997,Yes ,2.8,2010,41.8
326757,676144,Yes ,2.8,2010,39.9
324638,675993,Yes ,4.65,2010,44
324686,675941,Yes ,2.28 + 2.0b ,2010, 
326455,676805,No ,4.2,2010,33
327476,676418,No ,2.25,2010,36.2
327665,676331,No ,1.8,2010,40.3
324896,676991,No ,2,2010,27.5
329997,674274,No ,2.0 + 2.1b ,2010,27.5
327231,671782,No ,1.8,2010,27.8
326934,674503,Yes ,2.3,2010,49.7
326950,674624,Yes ,3.3,2010,39.1
326958,674770,Yes ,3.25,2010,37.7
326974,674780,Yes ,2.8,2010,37.1
326999,674940,Yes ,3.95,2010,34.2
327010,675149,No ,2.8,2010,32.5
327071,675467,No ,3,2010,30.3
326980,674446,Yes ,2.5,2010, 
327190,674433,Yes ,2.7,2010,51.3
328049,674174,Yes ,2.7,2010,36.6
328272,674143,Yes ,2.62,2010,50.6
328337,674129,Yes ,4.6,2010,46.1
327468,674362,Yes ,2.04 + 2.0b ,2010,40.5
326944,674472,Yes ,5.6,2010,46.2
328889,671649,No ,0.2 + 2.4b ,2010,32.5
328771,674190,No ,4.0 + 2.1b ,2010, 
330242,674162,No ,3.8,2010, 
330830,673726,No ,2.3,2010, 
330366,674057,No ,3.1,2010,25.5
330533,673850,No ,3,2010,39.2
329923,674389,No ,2.8,2010, 
329993,674457,No ,4.5,2010,38.4
325513,675134,No ,2,2010,39.8
325855,674527,No ,4.5,2010,35.3
324603,674555,No ,0.6 + 2.1b ,2010,33
325243,674400,No ,0.3 + 2.1b ,2010,31.6
324880,673891,Yes ,6.8,2010,43.4
325273,674030,Yes ,0.54,2010,39.5
324783,673868,Yes ,0.3,2010,42.6
324473,673920,No ,0.36 + 2.4b ,2010, 
324488,673978,No ,0.4 + 2.1b ,2010,36.2
324790,674341,No ,0.4 + 2.1b ,2010,22.7
325052,675217,No ,6.1,2010, 
326386,674872,Yes ,1.16,2010,35.4
326361,674882,Yes ,5.6,2010,38.1
325049,673791,Yes ,9,2010,58
325397,673869,Yes ,1,2010,49.3
325362,674205,Yes ,2.2 + 2.0 b ,2010,56.3
324624,674012,No ,0.6,2010,38.5
325828,674362,Yes ,5.5,2010,39
326229,672287,No ,2.35 +2 b ,2010, 
